Date,Close,MA_10,MA_50,RSI,High,Low,Open,Volume,Day_0,Day_1,Day_2,Day_3,Day_4
2004-08-16,114.88665771484376,118.07794036865235,113.06378631591797,41.5122552426723,116.48230573866104,114.88665771484376,116.48230573866104,143450000,True,False,False,False,False
2004-08-17,114.88665771484376,117.5992446899414,113.36759735107422,41.51225524267231,114.88665771484376,114.88665771484376,114.88665771484376,0,False,True,False,False,False
2004-08-18,118.07795715332033,117.28011779785156,113.70715148925781,53.68788518195109,118.07795715332033,116.48230908368085,116.48230908368085,236070000,False,False,True,False,False
2004-08-19,118.07795715332033,116.96099090576172,114.04670562744141,53.68788518195109,118.07795715332033,116.48230908368085,118.07795715332033,54470000,False,False,False,True,False
2004-08-20,116.4822769165039,116.6418571472168,114.35434616088867,47.904875051419125,118.07792454549713,116.4822769165039,116.4822769165039,6340000,False,False,False,False,True
2004-08-23,116.4822769165039,116.6418571472168,114.69006958007813,47.90487505141912,118.07792454549713,116.4822769165039,116.4822769165039,34770000,True,False,False,False,False
2004-08-24,116.4822769165039,116.6418571472168,114.96962661743164,47.90487505141912,116.4822769165039,114.8866292875107,116.4822769165039,343910000,False,True,False,False,False
2004-08-25,114.88665771484376,116.32272720336914,115.24535476684571,42.224470045303654,116.48230573866104,113.29100969102647,116.48230573866104,20510000,False,False,True,False,False
2004-08-26,114.88665771484376,116.16316528320313,115.54916580200195,42.224470045303654,114.88665771484376,113.29100969102647,113.29100969102647,26650000,False,False,False,True,False
2004-08-27,116.4822769165039,116.16316528320313,115.8848892211914,49.20926206750483,116.4822769165039,114.8866292875107,114.8866292875107,152960000,False,False,False,False,True
2004-08-30,113.29103088378906,116.00360260009765,116.15678771972657,39.04286741645022,114.88667920609596,113.29103088378906,114.88667920609596,217280000,True,False,False,False,False
2004-08-31,114.88665771484376,116.00360260009765,116.46059875488281,45.14513172826942,116.48230573866104,114.88665771484376,114.88665771484376,241830000,False,True,False,False,False
